n,reinicio,seed,valor_corte,bitstring,movimientos,runtime_seconds
12,66,122092,91.332475666,011010010010,6,0.001944627999819204
12,67,122093,93.299621336,100001110101,6,0.002353951999793935
12,68,122094,93.299621336,011110001010,4,0.0014605139999730454
12,69,122095,87.521788706,100001010111,3,0.001252690999990591
12,70,122096,93.299621336,100001110101,5,0.0020000280001113424
12,71,122097,87.521788706,100001010111,4,0.001452063999749953
12,72,122098,93.299621336,100001110101,5,0.0018330769999010954
12,73,122099,91.332475666,011010010010,5,0.001910826999846904
12,74,122100,93.299621336,011110001010,3,0.0014902640000400424
12,75,122101,93.299621336,100001110101,4,0.001348703000076057
12,76,122102,85.55464303599999,100101001111,6,0.004766484999890963
12,77,122103,85.55464303599999,011010110000,3,0.002159539999865956
12,78,122104,87.521788706,011110101000,3,0.0018368370001553558
12,79,122105,91.332475666,011010010010,2,0.001286381999761943
12,80,122106,93.299621336,011110001010,4,0.002360221999879286
12,81,122107,93.299621336,011110001010,3,0.0013769030001640203
12,82,122108,91.332475666,011010010010,3,0.0014168729999255447
12,83,122109,81.476864931,001111001010,3,0.0012388919999466452
12,84,122110,91.332475666,011010010010,4,0.004078928000126325
12,85,122111,93.299621336,011110001010,5,0.002158060000056139
12,86,122112,91.332475666,100101101101,3,0.0034252609998475236
12,87,122113,87.521788706,011110101000,3,0.0017341769998893142
12,88,122114,87.521788706,100001010111,6,0.0025400729996363225
12,89,122115,91.332475666,100101101101,4,0.001501014000041323
12,90,122116,93.299621336,011110001010,6,0.0025454739998167497
12,91,122117,93.299621336,100001110101,5,0.002583634000075108
12,92,122118,79.509719261,110100101101,4,0.0025511230001029617
12,93,122119,85.55464303599999,100101001111,3,0.0013997429996379651
12,94,122120,93.299621336,011110001010,4,0.0016528649998690526
12,95,122121,85.55464303599999,011010110000,4,0.0019264080001448747
12,96,122122,87.521788706,100001010111,5,0.003337942000143812
12,97,122123,85.55464303599999,011010110000,3,0.002444243000354618
12,98,122124,87.521788706,011110101000,4,0.001796145999833243
12,99,122125,91.332475666,100101101101,3,0.002093730000069627
